	(1)	(2)	(3)
VARIABLES	lnw	lnw	lnw
			
lnw			
			
			
			
age	0.00350	0.00350	0.00350
	(0.0206)	(0.0206)	(0.0206)
			0.170
			(0.865)
educ	-0.114	-0.114	-0.114
	(0.156)	(0.156)	(0.156)
			-0.728
			(0.467)
educ_sq	0.00751	0.00751	0.00751
	(0.00670)	(0.00670)	(0.00670)
			1.122
			(0.262)
ageXeduc	0.00150	0.00150	0.00150
	(0.00376)	(0.00376)	(0.00376)
			0.399
			(0.690)
ageXeduc_sq	-6.88e-05	-6.88e-05	-6.88e-05
	(0.000163)	(0.000163)	(0.000163)
			-0.421
			(0.674)
white	0.240***	0.240***	0.240***
	(0.0441)	(0.0441)	(0.0441)
			5.454
			(6.97e-08)
smsa_large	0.347***	0.347***	0.347***
	(0.0371)	(0.0371)	(0.0371)
			9.354
			(0)
smsa_mid	0.246***	0.246***	0.246***
	(0.0347)	(0.0347)	(0.0347)
			7.088
			(0)
moth_hs	0.0370	0.0370	0.0370
	(0.0348)	(0.0348)	(0.0348)
			1.061
			(0.289)
moth_col	0.0633	0.0633	0.0633
	(0.0594)	(0.0594)	(0.0594)
			1.067
			(0.286)
fath_hs	0.0987**	0.0987**	0.0987**
	(0.0407)	(0.0407)	(0.0407)
			2.426
			(0.0155)
fath_col	0.0293	0.0293	0.0293
	(0.0508)	(0.0508)	(0.0508)
			0.576
			(0.565)
econst_ave	-0.0310	-0.0310	-0.0310
	(0.0343)	(0.0343)	(0.0343)
			-0.904
			(0.367)
econst_well	-0.0170	-0.0170	-0.0170
	(0.0436)	(0.0436)	(0.0436)
			-0.391
			(0.696)
Constant	2.041**	2.041**	2.041**
	(0.869)	(0.869)	(0.869)
			2.348
			(0.0192)
			
Observations	6,600	6,600	6,600
R-squared	0.329	0.329	0.329
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
